Owner Name,County,Address,Price,Sold Date,Agent Phone
N/A,Davidson,"233   SHUTE  LN, OLD HICKORY, TN","$250,000",12/30/2025,N/A
N/A,Davidson,"2612  BROWNWOOD  DR, NASHVILLE, TN","$370,000",12/30/2025,N/A
N/A,Davidson,"1601   JOSIE  CT, HERMITAGE, TN","$420,000",12/30/2025,N/A
N/A,Davidson,"1200   SPRINGWOOD  DR, OLD HICKORY, TN","$380,000",12/30/2025,N/A
N/A,Davidson,"1988  STONEWATER  DR, HERMITAGE, TN","$475,000",12/30/2025,N/A
N/A,Davidson,"151   BLUEGILL  LN, ANTIOCH, TN","$450,040",12/23/2025,N/A
N/A,Davidson,"3309  CEDAR RIDGE  RD, NASHVILLE, TN","$353,300",12/23/2025,N/A
N/A,Davidson,"5011  PRESERVE  BLVD, ANTIOCH, TN","$392,000",12/23/2025,N/A
N/A,Davidson,"1740  LINCOYA BAY  DR, NASHVILLE, TN","$195,000",12/23/2025,N/A
N/A,Davidson,"420  BLACK MOUNTAIN  DR, ANTIOCH, TN","$375,000",12/23/2025,N/A
N/A,Davidson,"701  GRIGGS  PL, NASHVILLE, TN","$345,000",12/29/2025,N/A
N/A,Davidson,"250  BUCK RUN  DR, NASHVILLE, TN","$289,000",12/29/2025,N/A
N/A,Davidson,"11  FAWN CREEK  PASS, NASHVILLE, TN","$277,000",12/29/2025,N/A
N/A,Davidson,"3736  PRIEST LAKE  DR, NASHVILLE, TN","$476,400",12/29/2025,N/A
N/A,Davidson,"3516  SAXON MIST  CT, NASHVILLE, TN","$415,000",12/29/2025,N/A
N/A,Davidson,"3001  HAMILTON CHURCH  RD, ANTIOCH, TN","$255,000",12/29/2025,N/A
N/A,Davidson,"5504  DORY  DR, ANTIOCH, TN","$465,000",12/30/2025,N/A
N/A,Davidson,"309 A  WIMPOLE  DR, NASHVILLE, TN","$490,000",12/30/2025,N/A
N/A,Davidson,"1001   CHERRY TREE  DR, MOUNT JULIET, TN","$499,990",12/30/2025,N/A
N/A,Davidson,"844  TRAILSIDE  CIR, ANTIOCH, TN","$295,000",12/30/2025,N/A
N/A,Davidson,"930   COMMERCE  ST, NASHVILLE, TN","$565,309",12/23/2025,N/A
N/A,Davidson,"930   COMMERCE  ST, NASHVILLE, TN","$1,348,269",12/23/2025,N/A
N/A,Davidson,"930   COMMERCE  ST, NASHVILLE, TN","$621,000",12/29/2025,N/A
N/A,Davidson,"604 B HUME  ST, NASHVILLE, TN","$1,195,000",12/29/2025,N/A
N/A,Davidson,"930   COMMERCE  ST, NASHVILLE, TN","$445,208",12/29/2025,N/A
N/A,Davidson,"930   COMMERCE  ST, NASHVILLE, TN","$1,297,500",12/29/2025,N/A
N/A,Davidson,"930   COMMERCE  ST, NASHVILLE, TN","$1,181,939",12/29/2025,N/A
N/A,Davidson,"930   COMMERCE  ST, NASHVILLE, TN","$411,942",12/29/2025,N/A
N/A,Davidson,"309  CHURCH  ST, NASHVILLE, TN","$428,000",12/30/2025,N/A
N/A,Davidson,"930   COMMERCE  ST, NASHVILLE, TN","$687,386",12/30/2025,N/A
